gs_long,counts,condition
Dpysl4,NA,NL1_A
Phb2,NA,NL1_A
Polr1a,NA,NL1_A
Ncam2,NA,NL1_A
Slc30a4,NA,NL1_A
Bet1l,NA,NL1_A
Cx3cl1,NA,NL1_A
Ddt,NA,NL1_A
Psmd4,NA,NL1_A
Kifc3,NA,NL1_A
Ptpn9,NA,NL1_A
Exoc7,NA,NL1_A
Dhx15,NA,NL1_A
Purb,NA,NL1_A
Slc6a6,NA,NL1_A
Kpna3,NA,NL1_A
Kpna6,NA,NL1_A
Exoc4,NA,NL1_A
Efnb3,NA,NL1_A
Pld3,NA,NL1_A
Clcn6,NA,NL1_A
Sema6a,70335.6972999958,NL1_A
Fkbp8,NA,NL1_A
Stx1a,NA,NL1_A
Slc1a6,NA,NL1_A
Rabep1,NA,NL1_A
Psmd14,NA,NL1_A
Bmpr2,1519642.26579965,NL1_A
Scamp3,NA,NL1_A
Bet1,NA,NL1_A
Slc32a1,NA,NL1_A
Ap1b1,NA,NL1_A
Mgll,NA,NL1_A
Mrps12,543949.365093751,NL1_A
Syt3,NA,NL1_A
Myadm,NA,NL1_A
Ndufa1,NA,NL1_A
Nudc,NA,NL1_A
Noct,NA,NL1_A
Hnrnph1,NA,NL1_A
Api5,NA,NL1_A
Bcat2,NA,NL1_A
Timm44,NA,NL1_A
Cops5,NA,NL1_A
Slc1a4,NA,NL1_A
Ctnnd2,351260479.884015,NL1_A
Aldh1a7,44656.6742006976,NL1_A
Pitpnm1,NA,NL1_A
Rab33b,NA,NL1_A
Gamt,NA,NL1_A
Sdc4,NA,NL1_A
Ddost,NA,NL1_A
Ap3d1,NA,NL1_A
Srpk2,NA,NL1_A
Chka,NA,NL1_A
Rgs9,NA,NL1_A
Rgs7,NA,NL1_A
Gucy1b1,NA,NL1_A
Itgb3,NA,NL1_A
Cd200,NA,NL1_A
Reps1,NA,NL1_A
Akap2,NA,NL1_A
Nlk,NA,NL1_A
Prkag1,NA,NL1_A
Sema6b,NA,NL1_A
Tnk2,NA,NL1_A
Crym,NA,NL1_A
Asna1,NA,NL1_A
Slk,NA,NL1_A
Cntnap1,NA,NL1_A
Cacna1b,NA,NL1_A
Pgrmc1,NA,NL1_A
Impa1,NA,NL1_A
Entpd2,NA,NL1_A
Copb2,NA,NL1_A
Nck2,NA,NL1_A
Snca,NA,NL1_A
Tlk2,NA,NL1_A
Tpmt,NA,NL1_A
Impact,NA,NL1_A
Syngr1,NA,NL1_A
Strn,NA,NL1_A
Nipsnap1,NA,NL1_A
Sap18,1211673.47820737,NL1_A
Septin7,NA,NL1_A
Eif6,NA,NL1_A
Acot1,NA,NL1_A
Rpl35a,NA,NL1_A
Atp2a2,NA,NL1_A
Slc6a2,NA,NL1_A
Supt5h,NA,NL1_A
Ilk,NA,NL1_A
Psmb5,NA,NL1_A
Rngtt,NA,NL1_A
Dhx9,NA,NL1_A
Tesk1,NA,NL1_A
Dpm1,NA,NL1_A
Pip5k1c,NA,NL1_A
Stmn3,33950.6363084128,NL1_A
Pip4k2a,NA,NL1_A
Chrna4,NA,NL1_A
Eif3d,NA,NL1_A
Atp9a,NA,NL1_A
Eef1b,NA,NL1_A
Hmox2,NA,NL1_A
Grk6,NA,NL1_A
Atxn2,NA,NL1_A
Itgb5,NA,NL1_A
Nmt1,NA,NL1_A
Nmt2,NA,NL1_A
Epb41l2,NA,NL1_A
Gpx4,NA,NL1_A
Emc8,NA,NL1_A
Pdlim1,NA,NL1_A
Ulk1,NA,NL1_A
Stx7,NA,NL1_A
Gnaz,NA,NL1_A
Slc16a7,NA,NL1_A
Sfn,NA,NL1_A
Osmr,NA,NL1_A
Tnfaip1,NA,NL1_A
Ubr1,NA,NL1_A
Snx3,NA,NL1_A
Snx12,NA,NL1_A
Clcn7,NA,NL1_A
Hsd17b12,16124601.6742949,NL1_A
Smpd2,NA,NL1_A
Dtnb,1358828.87756797,NL1_A
Cask,NA,NL1_A
Cfdp1,NA,NL1_A
Wiz,NA,NL1_A
Znf326,NA,NL1_A
Ctnnal1,NA,NL1_A
Wdr1,NA,NL1_A
Slc4a4,NA,NL1_A
Vti1b,NA,NL1_A
Tulp3,3934660.0618122,NL1_A
Papss2,NA,NL1_A
Adcy1,NA,NL1_A
Klc1,NA,NL1_A
Klc2,NA,NL1_A
Dhcr7,NA,NL1_A
Capns1,NA,NL1_A
Dync1i1,NA,NL1_A
Dync1i2,NA,NL1_A
Plin4,NA,NL1_A
Cntfr,NA,NL1_A
Ppt1,NA,NL1_A
Zfr,NA,NL1_A
Cops6,1407642.29345811,NL1_A
Slc27a3,NA,NL1_A
Hnrnpa2b1,NA,NL1_A
Comt,NA,NL1_A
Cacng2,1252327.43314338,NL1_A
Parg,NA,NL1_A
Usp2,NA,NL1_A
Gosr1,NA,NL1_A
Psmc3,NA,NL1_A
Stk16,NA,NL1_A
Hcn2,NA,NL1_A
Hcn1,NA,NL1_A
Hcn3,376470.911617491,NL1_A
Ctbp1,NA,NL1_A
Map7,NA,NL1_A
Bsn,NA,NL1_A
Birc6,NA,NL1_A
Gdap1,NA,NL1_A
Tom1,NA,NL1_A
Dcx,NA,NL1_A
Stam2,NA,NL1_A
Adam15,74702.826726415,NL1_A
Idh1,NA,NL1_A
Akap10,NA,NL1_A
Rbbp9,NA,NL1_A
Tspyl1,NA,NL1_A
Ccnk,9316.43977247193,NL1_A
Mpp3,686781.165721708,NL1_A
Syn1,NA,NL1_A
Nfatc1,NA,NL1_A
Lin7c,NA,NL1_A
Gnpda1,NA,NL1_A
Stx8,NA,NL1_A
Cpd,NA,NL1_A
Robo1,NA,NL1_A
Itm2b,528668.412800327,NL1_A
Coro1a,NA,NL1_A
Cope,NA,NL1_A
Pde4a,NA,NL1_A
Fhit,NA,NL1_A
Lancl1,NA,NL1_A
NA,NA,NL1_A
ADH1,NA,NL1_A
ADH2,NA,NL1_A
Mtco1,NA,NL1_A
Mtco2,NA,NL1_A
NA,NA,NL1_A
NA,NA,NL1_A
Ca2,NA,NL1_A
Thy1,NA,NL1_A
Hba,NA,NL1_A
NA,NA,NL1_A
NA,NA,NL1_A
Lamc1,NA,NL1_A
KRT14,NA,NL1_A
Krt10,NA,NL1_A
KRT6A,NA,NL1_A
CSN1S1,NA,NL1_A
AVD,NA,NL1_A
ALB,NA,NL1_A
ALB,NA,NL1_A
Mt1,NA,NL1_A
Mtnd1,NA,NL1_A
Mtnd3,NA,NL1_A
Mtnd4,NA,NL1_A
Mtnd5,12798633.3678871,NL1_A
Iap,NA,NL1_A
Gfap,NA,NL1_A
Krt1,NA,NL1_A
KRT6B,NA,NL1_A
KRT1,NA,NL1_A
Mbp,NA,NL1_A
Araf,NA,NL1_A
Slc4a1,NA,NL1_A
Aldoc,NA,NL1_A
Aldoa,NA,NL1_A
Prkaca,NA,NL1_A
Got1,NA,NL1_A
Got2,NA,NL1_A
Src,NA,NL1_A
Pdgfrb,NA,NL1_A
Krt18,NA,NL1_A
Ldha,NA,NL1_A
Nr3c1,NA,NL1_A
Apoa4,NA,NL1_A
Gpi,NA,NL1_A
Me1,NA,NL1_A
Gap43,NA,NL1_A
Anxa2,NA,NL1_A
Alb,NA,NL1_A
Serpina3k,NA,NL1_A
Hsp90aa1,NA,NL1_A
Spta1,344731.035402306,NL1_A
Zfp2,100187.690481585,NL1_A
Hck,NA,NL1_A
Hsp90b1,NA,NL1_A
Mdh2,NA,NL1_A
Camk4,NA,NL1_A
Nefl,NA,NL1_A
Nefm,NA,NL1_A
Nras,921063.260859309,NL1_A
Gnai2,NA,NL1_A
KRT16,NA,NL1_A
Itgb1,NA,NL1_A
Ncl,NA,NL1_A
Pgk1,NA,NL1_A
Nudt10,NA,NL1_A
Rc3h2,NA,NL1_A
Lrrc4b,32307465.6943044,NL1_A
Igsf11,12302123.199221,NL1_A
Wipf3,NA,NL1_A
Lynx1,NA,NL1_A
Eef1a1,NA,NL1_A
Alad,NA,NL1_A
Ctsb,2739126.47207623,NL1_A
Eif4a2,NA,NL1_A
Mapt,NA,NL1_A
Txn,NA,NL1_A
Gstm1,NA,NL1_A
Rras,NA,NL1_A
Slc3a2,122180654.892342,NL1_A
H1f0,NA,NL1_A
Parp1,NA,NL1_A
Lamp1,NA,NL1_A
Hsp90ab1,NA,NL1_A
Dmd,NA,NL1_A
L1cam,NA,NL1_A
Camk2a,86542047.4376141,NL1_A
Itpr1,NA,NL1_A
Tcp1,NA,NL1_A
Prkar2a,NA,NL1_A
Pfkl,NA,NL1_A
Chrm1,NA,NL1_A
Cntn1,NA,NL1_A
Rpl7a,NA,NL1_A
Gsn,NA,NL1_A
Ncam1,NA,NL1_A
KRT10,NA,NL1_A
KRT5,NA,NL1_A
Gpd1,NA,NL1_A
Atp1b1,NA,NL1_A
Rpl27a,NA,NL1_A
Rps16,NA,NL1_A
Rpl7,NA,NL1_A
Mdh1,NA,NL1_A
Rpsa,NA,NL1_A
Calr,NA,NL1_A
Atp1b2,NA,NL1_A
Srp54,NA,NL1_A
Psmd3,63249539.0884446,NL1_A
Lmnb1,NA,NL1_A
Anxa6,NA,NL1_A
Rplp0,NA,NL1_A
Map1b,NA,NL1_A
Glul,NA,NL1_A
Cdh2,8381219.34554174,NL1_A
Insr,NA,NL1_A
Ntrk2,NA,NL1_A
Cd44,NA,NL1_A
Kcnc1,NA,NL1_A
Nme1,NA,NL1_A
Usp53,NA,NL1_A
Prkce,NA,NL1_A
Met,NA,NL1_A
Ldhb,NA,NL1_A
Blk,NA,NL1_A
Slc4a3,NA,NL1_A
Cnp,NA,NL1_A
Kcna1,NA,NL1_A
Kcna3,NA,NL1_A
Ass1,18035020.2469672,NL1_A
Sptan1,NA,NL1_A
Gapdh,NA,NL1_A
Hspa2,NA,NL1_A
Eno1,NA,NL1_A
Eno2,NA,NL1_A
Ptbp1,NA,NL1_A
Ap2a1,NA,NL1_A
Ap2a2,NA,NL1_A
Selenbp1,NA,NL1_A
Hk1,NA,NL1_A
Ppia,NA,NL1_A
Tpi1,NA,NL1_A
Slc2a1,NA,NL1_A
Ptpra,NA,NL1_A
Ctsd,NA,NL1_A
Bsg,NA,NL1_A
Slc7a2,5357287.28310669,NL1_A
Hmgn1,NA,NL1_A
Rps6ka3,NA,NL1_A
Cfl1,NA,NL1_A
Phka1,NA,NL1_A
Gnao1,NA,NL1_A
KRT15,NA,NL1_A
KRT4,NA,NL1_A
Fasn,NA,NL1_A
Gstp1,41301596.2704929,NL1_A
Nefh,NA,NL1_A
Rpl13a,NA,NL1_A
Mpv17,1105401.15811169,NL1_A
Serpinh1,NA,NL1_A
Cox5b,NA,NL1_A
Hspa5,NA,NL1_A
Prdx3,NA,NL1_A
Vim,NA,NL1_A
Map2,NA,NL1_A
Prkca,NA,NL1_A
Mag,NA,NL1_A
Gna11,NA,NL1_A
Cst3,NA,NL1_A
Eno3,NA,NL1_A
Pcsk2,NA,NL1_A
Emb,NA,NL1_A
NA,NA,NL1_A
Cbl,NA,NL1_A
Gabrg2,NA,NL1_A
Ap1g1,NA,NL1_A
Hmbs,NA,NL1_A
Eif3a,NA,NL1_A
Gja1,NA,NL1_A
Prkch,NA,NL1_A
Pnp,NA,NL1_A
Pcmt1,NA,NL1_A
Gria1,NA,NL1_A
Gria2,NA,NL1_A
Cat,NA,NL1_A
Bcat1,421411.118233989,NL1_A
Ppib,NA,NL1_A
Lta4h,NA,NL1_A
Aldh1a1,NA,NL1_A
M6pr,703103.042625616,NL1_A
Rps2,NA,NL1_A
Lyn,NA,NL1_A
Tln1,NA,NL1_A
Ezr,NA,NL1_A
Msn,NA,NL1_A
Rdx,NA,NL1_A
Gabra2,13747838.0049031,NL1_A
Gabra3,NA,NL1_A
Ctnna1,NA,NL1_A
Glud1,NA,NL1_A
Psmd7,NA,NL1_A
Sars,NA,NL1_A
Marcks,NA,NL1_A
Fkbp1a,NA,NL1_A
Snrpb,NA,NL1_A
Cers1,1334634.2716687,NL1_A
Map4,NA,NL1_A
Gna12,2969198.95349792,NL1_A
Gna13,4179999.98670647,NL1_A
Plaa,NA,NL1_A
Rpl3,NA,NL1_A
Rasgrf1,NA,NL1_A
Gabrg3,NA,NL1_A
Pdia3,NA,NL1_A
Braf,NA,NL1_A
Mt3,NA,NL1_A
Aco1,NA,NL1_A
Apex1,NA,NL1_A
Adh5,NA,NL1_A
Slc6a9,32508617.6877082,NL1_A
Camk2b,NA,NL1_A
Nap1l1,NA,NL1_A
Atxn10,NA,NL1_A
Celf1,NA,NL1_A
Nckap1,NA,NL1_A
Septin4,NA,NL1_A
Napb,NA,NL1_A
Marcksl1,NA,NL1_A
Kif5c,NA,NL1_A
Kif2a,NA,NL1_A
Kif3a,NA,NL1_A
Ptprm,425048.852296839,NL1_A
Prkcd,NA,NL1_A
Pabpc1,NA,NL1_A
Gnb4,NA,NL1_A
Vcam1,NA,NL1_A
Nedd8,NA,NL1_A
Ckmt1,NA,NL1_A
Fkbp4,NA,NL1_A
Gna14,NA,NL1_A
Sstr2,NA,NL1_A
Sstr3,NA,NL1_A
Ctnnd1,NA,NL1_A
Aimp1,NA,NL1_A
Prkar2b,NA,NL1_A
Slc6a1,104314395.546686,NL1_A
Slc6a11,180379398.44338,NL1_A
Akt1,NA,NL1_A
Dbi,NA,NL1_A
Map2k1,NA,NL1_A
Slc2a3,NA,NL1_A
Chrm4,NA,NL1_A
Drg1,NA,NL1_A
Kras,NA,NL1_A
Wars,NA,NL1_A
Kif1a,NA,NL1_A
Ranbp1,NA,NL1_A
Ptk2,NA,NL1_A
Mif,NA,NL1_A
Ephx2,NA,NL1_A
Usp4,NA,NL1_A
Ptpn11,NA,NL1_A
Rab5c,NA,NL1_A
Rab6a,NA,NL1_A
Rab21,NA,NL1_A
Rab12,4443704.83067932,NL1_A
Rab22a,NA,NL1_A
Rab23,NA,NL1_A
Rab24,NA,NL1_A
Rab18,NA,NL1_A
Htr2a,NA,NL1_A
Grin2a,NA,NL1_A
Grin1,NA,NL1_A
Pdha1,NA,NL1_A
KRT9,NA,NL1_A
Canx,NA,NL1_A
Ap1m1,NA,NL1_A
Prdx1,NA,NL1_A
Gpm6a,NA,NL1_A
Gpm6b,NA,NL1_A
Ptpn1,NA,NL1_A
Ptprk,NA,NL1_A
Ptpn12,NA,NL1_A
KRT2,NA,NL1_A
Kdr,53810.0877530729,NL1_A
Fmr1,NA,NL1_A
Rpl12,NA,NL1_A
Rpl18,NA,NL1_A
Sar1a,NA,NL1_A
Gnl1,8647424.83162593,NL1_A
Ppm1b,NA,NL1_A
Por,NA,NL1_A
Hspa9,NA,NL1_A
Cdh4,225149.228687535,NL1_A
Dnm1,NA,NL1_A
Dnm2,1284580.23848195,NL1_A
Grik2,NA,NL1_A
Tjp1,NA,NL1_A
Fyn,NA,NL1_A
Cap1,NA,NL1_A
Tkt,NA,NL1_A
Vps26a,NA,NL1_A
Rpl28,NA,NL1_A
Acsl1,NA,NL1_A
Abca1,NA,NL1_A
Abca2,NA,NL1_A
Csk,NA,NL1_A
Matk,1643480.70765184,NL1_A
Eci1,NA,NL1_A
Septin2,NA,NL1_A
Stat3,NA,NL1_A
Stat5b,NA,NL1_A
Pik3ca,NA,NL1_A
Eps15,NA,NL1_A
Pura,NA,NL1_A
Lifr,NA,NL1_A
Htt,NA,NL1_A
Cct8,NA,NL1_A
Slc1a2,4055598156.42889,NL1_A
Nodal,NA,NL1_A
Msh2,NA,NL1_A
Hist1h1e,NA,NL1_A
Akr1b1,NA,NL1_A
Akr1b8,NA,NL1_A
Acadm,NA,NL1_A
Rangap1,NA,NL1_A
Sipa1,NA,NL1_A
Syt1,NA,NL1_A
Cdkn1b,NA,NL1_A
Nsf,NA,NL1_A
Vps4b,NA,NL1_A
Psmc2,NA,NL1_A
Rab11b,NA,NL1_A
Ina,NA,NL1_A
Nf2,NA,NL1_A
Adss2,NA,NL1_A
Myo1b,NA,NL1_A
Brcc3,NA,NL1_A
Nedd4,NA,NL1_A
Yap1,NA,NL1_A
Stt3a,NA,NL1_A
Cryz,NA,NL1_A
Rph3a,NA,NL1_A
Pla2g4a,4819472.27426379,NL1_A
Aldh2,NA,NL1_A
Grm8,NA,NL1_A
Cnr1,NA,NL1_A
Capza1,NA,NL1_A
Capza2,NA,NL1_A
Capzb,NA,NL1_A
Srprb,NA,NL1_A
Map2k4,NA,NL1_A
Gfpt1,NA,NL1_A
Pfkm,NA,NL1_A
Rpl6,NA,NL1_A
Rpl29,NA,NL1_A
Crat,NA,NL1_A
Crkl,NA,NL1_A
Rpl5,NA,NL1_A
Rpl13,NA,NL1_A
Anxa5,NA,NL1_A
Glrb,NA,NL1_A
Epb41,NA,NL1_A
Gad1,NA,NL1_A
Gad2,NA,NL1_A
Abcd1,NA,NL1_A
Ppp3cb,NA,NL1_A
Ppp3cc,NA,NL1_A
Kcnj6,NA,NL1_A
Kcnj9,NA,NL1_A
Lmna,NA,NL1_A
Hspa4l,NA,NL1_A
Cbr1,NA,NL1_A
Gstm5,NA,NL1_A
Slc25a4,NA,NL1_A
Cit,NA,NL1_A
Camlg,NA,NL1_A
Hnrnpa1,NA,NL1_A
Inpp1,NA,NL1_A
Ppm1a,NA,NL1_A
Pcyt1a,NA,NL1_A
Cdk5,NA,NL1_A
Bckdha,6532830.91700947,NL1_A
Ahcy,NA,NL1_A
Gdi1,NA,NL1_A
Atp6v1a,NA,NL1_A
Atp6v1e1,NA,NL1_A
Gabrb1,2524215.74158582,NL1_A
Pa2g4,NA,NL1_A
Dvl1,NA,NL1_A
Rab7a,NA,NL1_A
Ppox,NA,NL1_A
Rpl9,NA,NL1_A
Plcb3,NA,NL1_A
Hsd17b4,NA,NL1_A
Clcn3,NA,NL1_A
Adcy7,NA,NL1_A
Adcy9,NA,NL1_A
Hdgf,NA,NL1_A
Atp6v0d1,NA,NL1_A
Fabp7,NA,NL1_A
Slc25a5,NA,NL1_A
Slc1a1,NA,NL1_A
Slc1a5,NA,NL1_A
Nek1,NA,NL1_A
Kcnj12,NA,NL1_A
Kcnj4,NA,NL1_A
Tst,NA,NL1_A
Jak1,NA,NL1_A
Usp10,NA,NL1_A
Pkm,NA,NL1_A
Ndufs6,NA,NL1_A
Rida,NA,NL1_A
Efnb1,NA,NL1_A
Efnb2,NA,NL1_A
Tmem165,NA,NL1_A
Epb41l4a,118483.788322527,NL1_A
Dbt,NA,NL1_A
Rabggtb,NA,NL1_A
Fdft1,NA,NL1_A
Pitpna,NA,NL1_A
Pitpnb,NA,NL1_A
Slc16a1,NA,NL1_A
Rab2a,NA,NL1_A
Anapc1,NA,NL1_A
Idh2,NA,NL1_A
Stom,3098754.04100859,NL1_A
Stmn1,NA,NL1_A
Rad23b,NA,NL1_A
Ephb3,NA,NL1_A
Ephb2,NA,NL1_A
Psmc4,NA,NL1_A
Adsl,NA,NL1_A
Ddx6,NA,NL1_A
Ptpn5,NA,NL1_A
Adprh,NA,NL1_A
Slc12a2,9970622.58717214,NL1_A
Ncan,NA,NL1_A
Aqp4,NA,NL1_A
Abcd3,NA,NL1_A
Rab8a,NA,NL1_A
Adk,NA,NL1_A
Cdh11,588160.713356196,NL1_A
Golga3,NA,NL1_A
Atp5mf,NA,NL1_A
Arpp19,NA,NL1_A
Rab4a,NA,NL1_A
Nudt2,NA,NL1_A
Atp5f1e,NA,NL1_A
Dynlt3,NA,NL1_A
Cox7b,NA,NL1_A
Cyb5a,NA,NL1_A
Usp5,NA,NL1_A
Atp5f1b,NA,NL1_A
Ctbp2,NA,NL1_A
Slc1a3,187435863.296431,NL1_A
Maz,NA,NL1_A
Wfs1,NA,NL1_A
Fus,NA,NL1_A
Evc,137793.60128726,NL1_A
Pcbp3,NA,NL1_A
Pcbp4,NA,NL1_A
Samsn1,NA,NL1_A
Erp29,NA,NL1_A
Eef1d,NA,NL1_A
Actn4,NA,NL1_A
Slc16a3,143462.569964384,NL1_A
Rasa2,NA,NL1_A
Plscr4,577823.76493781,NL1_A
Eef2,NA,NL1_A
Opa1,NA,NL1_A
Ptpa,NA,NL1_A
Kcnn2,1760492.15937888,NL1_A
Kcnn3,7195846.40884532,NL1_A
Strn4,NA,NL1_A
Ctdsp1,296394.011627419,NL1_A
Btbd1,NA,NL1_A
Tbc1d10a,NA,NL1_A
Tubgcp3,NA,NL1_A
Tnks1bp1,NA,NL1_A
Vps33b,NA,NL1_A
Bcl2l13,NA,NL1_A
Cpne2,NA,NL1_A
Pcif1,NA,NL1_A
Nphp4,NA,NL1_A
Rab2b,NA,NL1_A
Arhgap39,NA,NL1_A
Eif5,NA,NL1_A
Ythdf1,NA,NL1_A
Inpp5j,NA,NL1_A
Fxyd7,NA,NL1_A
Anks1a,NA,NL1_A
Dock4,NA,NL1_A
Sash1,NA,NL1_A
Il1rapl1,NA,NL1_A
Arpc4,NA,NL1_A
Ruvbl1,NA,NL1_A
Plp1,NA,NL1_A
Pcbp1,NA,NL1_A
Ppfia3,NA,NL1_A
Pdxp,NA,NL1_A
Nploc4,NA,NL1_A
Actb,NA,NL1_A
Mdga2,NA,NL1_A
Nrgn,NA,NL1_A
Rac3,NA,NL1_A
Cdc42,NA,NL1_A
Eif4a1,NA,NL1_A
Lzts1,4013348.85909638,NL1_A
Rps20,NA,NL1_A
Snap25,NA,NL1_A
Megf8,NA,NL1_A
Rab5b,NA,NL1_A
Chp1,NA,NL1_A
Rab10,NA,NL1_A
Rab8b,NA,NL1_A
Ube2d3,NA,NL1_A
Ube2d1,NA,NL1_A
Ube2m,NA,NL1_A
Ube2n,NA,NL1_A
Actr2,NA,NL1_A
Actr1a,1002574.34167731,NL1_A
Arf3,NA,NL1_A
Arl1,NA,NL1_A
Ca10,NA,NL1_A
Abce1,NA,NL1_A
Rap2b,NA,NL1_A
Rpl26,NA,NL1_A
Stx1b,NA,NL1_A
Psme3,NA,NL1_A
Rab6b,NA,NL1_A
Fgf12,13375238.3056185,NL1_A
Rpl27,NA,NL1_A
Depdc5,NA,NL1_A
Rpl37a,NA,NL1_A
Sec61a1,4309026.27793287,NL1_A
Arf4,NA,NL1_A
Lpar1,NA,NL1_A
Cdk5r1,NA,NL1_A
Abat,NA,NL1_A
Copz1,NA,NL1_A
Ufm1,NA,NL1_A
Dcaf7,NA,NL1_A
Wdr5,NA,NL1_A
Hnrnpk,NA,NL1_A
Ywhag,NA,NL1_A
Usp46,NA,NL1_A
Rras2,NA,NL1_A
Rps7,NA,NL1_A
