GeneSymbol,FC,pval,BioID,cell
Faap100,13.68907,0.0006762919,NL1,Astrocyte
Ajm1,1.768937,0.0007379245,NL1,Astrocyte
Fsip2,2.443994,0.002418827,NL1,Astrocyte
Gsg1l,2.902622,0.01960339,NL1,Astrocyte
Dchs1,2.303522,0.03646456,NL1,Astrocyte
Sbf2,2.592987,0.00116758,NL1,Astrocyte
Pten,1.537426,0.01473919,NL1,Astrocyte
Ephb6,1.843485,0.0022017,NL1,Astrocyte
Snap23,2.464255,0.003066011,NL1,Astrocyte
Ndufb11,2.604292,0.02441648,NL1,Astrocyte
Sema6a,1.920735,0.04286251,NL1,Astrocyte
Bmpr2,1.796047,0.0002223963,NL1,Astrocyte
Mrps12,1.956722,0.03344961,NL1,Astrocyte
Ctnnd2,1.760685,0.02485112,NL1,Astrocyte
Aldh1a7,4.502587,0.03103916,NL1,Astrocyte
Sap18,1.535116,0.009426351,NL1,Astrocyte
Stmn3,2.211467,0.03092114,NL1,Astrocyte
Hsd17b12,1.645774,0.0004316581,NL1,Astrocyte
Dtnb,1.769855,0.01003527,NL1,Astrocyte
Tulp3,1.575819,0.01593009,NL1,Astrocyte
Cops6,7.418003,0.0004673487,NL1,Astrocyte
Cacng2,2.034098,0.02752004,NL1,Astrocyte
Hcn3,2.00195,0.01441793,NL1,Astrocyte
Adam15,1.585029,0.0233313,NL1,Astrocyte
Ccnk,2.497662,0.005482384,NL1,Astrocyte
Mpp3,6.221899,0.03504025,NL1,Astrocyte
Itm2b,96.13205,0.007502116,NL1,Astrocyte
Mtnd5,1.810455,0.006647939,NL1,Astrocyte
Spta1,43.19968,0.002090376,NL1,Astrocyte
Zfp2,2.081297,0.007547171,NL1,Astrocyte
Nras,75.12925,0.01565949,NL1,Astrocyte
Lrrc4b,2.358408,0.01570376,NL1,Astrocyte
Igsf11,2.777085,0.01303244,NL1,Astrocyte
Ctsb,1.772872,0.02088082,NL1,Astrocyte
Slc3a2,1.668069,0.0198802,NL1,Astrocyte
Camk2a,1.586241,0.009077773,NL1,Astrocyte
Psmd3,1.593511,0.03441851,NL1,Astrocyte
Cdh2,3.917846,0.0004171284,NL1,Astrocyte
Ass1,1.582512,0.03715725,NL1,Astrocyte
Slc7a2,3.986513,0.004560168,NL1,Astrocyte
Gstp1,1.729804,0.04388206,NL1,Astrocyte
Mpv17,1.659686,0.02944665,NL1,Astrocyte
Bcat1,1.823495,0.02192063,NL1,Astrocyte
M6pr,1.525933,0.02346831,NL1,Astrocyte
Gabra2,2.999763,0.006072053,NL1,Astrocyte
Cers1,2.036581,0.01901831,NL1,Astrocyte
Gna12,3.34001,0.02019118,NL1,Astrocyte
Gna13,2.095367,0.0005168371,NL1,Astrocyte
Slc6a9,2.224258,0.03597143,NL1,Astrocyte
Ptprm,1.646891,0.002655346,NL1,Astrocyte
Slc6a1,1.824742,0.001819668,NL1,Astrocyte
Slc6a11,1.878762,0.01178216,NL1,Astrocyte
Rab12,1.501424,0.01275364,NL1,Astrocyte
Kdr,2.093131,0.04551651,NL1,Astrocyte
Gnl1,2.337623,0.01958099,NL1,Astrocyte
Cdh4,10.16848,0.004627255,NL1,Astrocyte
Dnm2,1.713078,0.01186964,NL1,Astrocyte
Matk,1.63372,0.02422267,NL1,Astrocyte
Slc1a2,1.759615,0.001345398,NL1,Astrocyte
Pla2g4a,1.641158,0.03251656,NL1,Astrocyte
Bckdha,1.551996,0.0009463317,NL1,Astrocyte
Gabrb1,3.73085,0.0002455792,NL1,Astrocyte
Epb41l4a,1.558101,0.04517884,NL1,Astrocyte
Stom,1.916983,0.04331153,NL1,Astrocyte
Slc12a2,1.697903,0.003199457,NL1,Astrocyte
Cdh11,5.041512,0.002638868,NL1,Astrocyte
Slc1a3,1.896911,0.01382689,NL1,Astrocyte
Evc,18.35027,0.0005217759,NL1,Astrocyte
Slc16a3,1.581312,0.0318076,NL1,Astrocyte
Plscr4,1.953204,0.01388876,NL1,Astrocyte
Kcnn2,1.58197,0.01467204,NL1,Astrocyte
Kcnn3,1.629114,0.02695851,NL1,Astrocyte
Ctdsp1,4.976141,0.001712596,NL1,Astrocyte
Lzts1,1.815775,0.0007686151,NL1,Astrocyte
Actr1a,1.621012,0.03315058,NL1,Astrocyte
Fgf12,2.833505,0.01563991,NL1,Astrocyte
Sec61a1,1.887916,0.0381297,NL1,Astrocyte
Abi2,4.58589,0.0005439504,NL1,Astrocyte
Rps6,1.54325,0.04206161,NL1,Astrocyte
Rpl32,1.669362,0.02543259,NL1,Astrocyte
Slc7a10,1.68925,0.003778209,NL1,Astrocyte
Ube2i,1.541136,0.000337563,NL1,Astrocyte
Rala,1.708845,0.002946688,NL1,Astrocyte
Hrh1,2.313238,0.01685324,NL1,Astrocyte
Lrig1,2.628523,0.0006010292,NL1,Astrocyte
Fgf13,3.568808,0.005429464,NL1,Astrocyte
Slc7a3,1.803729,0.01312869,NL1,Astrocyte
Slc9a3r1,1.610883,0.03722095,NL1,Astrocyte
Rpl36a,1.662444,0.02786744,NL1,Astrocyte
Sms,1.555271,0.01968073,NL1,Astrocyte
Evi5,1.830469,0.02087904,NL1,Astrocyte
Ica1,2.33618,0.01042012,NL1,Astrocyte
Kcnk2,1.8146,0.03710519,NL1,Astrocyte
Rgs14,1.575157,0.01012253,NL1,Astrocyte
Gfra1,2.253207,0.01316422,NL1,Astrocyte
Pld2,2.036646,0.001764171,NL1,Astrocyte
Gnpat,1.723524,0.02624772,NL1,Astrocyte
Stx2,2.632818,0.01127471,NL1,Astrocyte
Egfr,1.666545,0.01062497,NL1,Astrocyte
Adra2a,1.542458,0.002236489,NL1,Astrocyte
Adcy6,3.869046,0.02496405,NL1,Astrocyte
Smpd1,1.612327,0.006925272,NL1,Astrocyte
Yes1,1.623551,0.006942991,NL1,Astrocyte
Cdk18,24.26003,0.007116222,NL1,Astrocyte
Hspg2,1.625317,0.02332302,NL1,Astrocyte
Ptprg,1.516734,0.03564814,NL1,Astrocyte
Eps8,2.732886,0.005837054,NL1,Astrocyte
Slc7a1,2.03944,0.02839793,NL1,Astrocyte
Slc45a4,2.095788,0.04009125,NL1,Astrocyte
Fam171b,1.848538,0.008486603,NL1,Astrocyte
Cnnm3,2.865315,0.00315342,NL1,Astrocyte
Aifm3,1.789832,0.001498657,NL1,Astrocyte
Rnf149,9.917131,0.04242343,NL1,Astrocyte
Dab2ip,1.762328,0.005553323,NL1,Astrocyte
Gfod1,1.690661,0.004239882,NL1,Astrocyte
Slc22a23,1.691504,0.02716187,NL1,Astrocyte
Gtpbp2,1.581222,0.01033357,NL1,Astrocyte
Gpd1l,1.571125,0.02530962,NL1,Astrocyte
Lclat1,1.849107,0.01153943,NL1,Astrocyte
Gpr162,1.563615,0.04217926,NL1,Astrocyte
Cryzl2,55.51926,0.009127405,NL1,Astrocyte
Arhgef40,1.591057,0.001484453,NL1,Astrocyte
Plcl1,1.816861,0.04767726,NL1,Astrocyte
Strada,2.680725,0.02547229,NL1,Astrocyte
Tubal3,2.830489,0.03348345,NL1,Astrocyte
Macrod2,1.534732,0.005922598,NL1,Astrocyte
Afg1l,4.134061,0.03252024,NL1,Astrocyte
Carmil2,2.596974,0.01445586,NL1,Astrocyte
Fam189a2,2.800835,0.001442327,NL1,Astrocyte
Plch1,24.14418,0.01212688,NL1,Astrocyte
Tmem65,1.506159,0.01249209,NL1,Astrocyte
Deptor,6.337645,0.009475176,NL1,Astrocyte
Tab3,1.800845,0.0191098,NL1,Astrocyte
Slc39a12,1.697746,0.01598784,NL1,Astrocyte
Cemip2,1.747488,4.542239e-05,NL1,Astrocyte
Slc25a51,1.578925,0.01197806,NL1,Astrocyte
Sdr39u1,1.601316,0.01789371,NL1,Astrocyte
Trappc1,20.96342,1.490137e-05,NL1,Astrocyte
Brsk1,1.916449,0.001630788,NL1,Astrocyte
Myo1d,2.809522,0.004863116,NL1,Astrocyte
Zdhhc20,2.29318,0.005622424,NL1,Astrocyte
Zdhhc18,1.964453,0.009277413,NL1,Astrocyte
Zdhhc8,1.854876,0.003513098,NL1,Astrocyte
Mertk,1.784591,0.01395813,NL1,Astrocyte
Abcb7,1.575443,0.02808573,NL1,Astrocyte
Slc6a3,9.779421,0.01275127,NL1,Astrocyte
Pcolce,1.504842,0.04062264,NL1,Astrocyte
Prkg2,25.37588,0.0006247462,NL1,Astrocyte
Slc20a1,2.22357,0.006114333,NL1,Astrocyte
Grid2,2.510524,0.001108222,NL1,Astrocyte
Grid1,1.661181,0.01624347,NL1,Astrocyte
Fgfr3,2.033229,0.01133163,NL1,Astrocyte
Ptpn14,1.80995,0.001128355,NL1,Astrocyte
Ptp4a1,1.649385,0.002591016,NL1,Astrocyte
Map2k2,1.643746,0.0009956704,NL1,Astrocyte
Gdpd5,2.283684,0.008311331,NL1,Astrocyte
